title,time,fake or real,topic
هذه الصورة تعود لاستعراض عسكري في كوريا الشمالية عام 2017 وليست للقوات المسلحة الإيرانية,12 أبريل 2024,fake,نفسي
هذه الصورة لا تظهر تنبؤ مسلسل سيمبسون بحادثة انهيار جسر بالتيمور ولم تعرض في أي من حلقات المسلسل,12 أبريل 2024,fake,سياسي
قبطان السفينة التي تسببت بانهيار جسر “فرانسيس سكوت كي” في بالتيمور كان هنديًّا وليس أوكرانيًّا,10 أبريل 2024,fake,تنس
هذا المقطع متداول منذ عام 2014 على الأقل، ولا يظهر منصات صواريخ نصبها الجيش السوداني قرب ولاية الجزيرة مؤخرًا,10 أبريل 2024,fake,جهاز
هذه الصورة لا تبين توجه شاحنات عسكرية إيرانية نحو سوريا، بل تعود لاحتفالات يوم الجيش في إيران عام 2019,8 أبريل 2024,fake,رئيس
هذه الصورة مفبركة وليست لطائرة بدون طيار مغربية الصنع، بل لطائرات تحمل علم سويسرا,7 أبريل 2024,fake,رئيس
هذه الصورة من مناورات البحرية الروسية في بحر البلطيق عام 2018، وليست لأسطول روسي عبر مضيق باب المندب مؤخرًا,5 أبريل 2024,fake,حكومة
هذا الادعاء زائف ولا يمكن القضاء على السرطان بمشروب بيكربونات الصوديوم والسكر,4 أبريل 2024,fake,حكومة
ادعاءات زائفة وخرافات متداولة عن الأدرينوكروم بأنه يستخرج من دماء الأطفال وأنه يحافظ على شباب الإنسان,4 أبريل 2024,fake,سياسي
هذا المقطع متداول منذ عام 2017، ولا يصور تدمير القوات المصرية آليات عسكرية تابعة لقوات الدعم السريع مؤخرًا,3 أبريل 2024,fake,وباء
لا صحة لهذا الخبر المتداول حول انقطاع الانترنت في العراق وباقي الدول بسبب عاصفة مغناطيسية,31 مارس 2024,fake,صحة
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,29 مارس 2024,fake,حكومة
هذه المعلومات المتداولة حول مشروع هارب واستخدامه كسلاح للتحكم بالطقس والتسبب بكوارث طبيعية غير صحيحة,29 مارس 2024,fake,مباراة
هذا المقطع مفبرك، والمقطع الأصلي لا يظهر الرئيس الفرنسي إيمانويل ماكرون يرقص في شبابه,28 مارس 2024,fake,رئيس
هذه الصورة ليست لمكة المكرمة عام 1860 بل لموقع تصوير سينمائي يحاكي مكة المكرمة في إيران,28 مارس 2024,fake,تصويت
هذا المقطع يظهر قصفًا طال سفينتين روسيتين في شبه جزيرة القرم، وليس من القصف الإسرائيلي الأخير على مدينة بعلبك,26 مارس 2024,fake,تنس
هذا المقطع مصور في معرض ترفيهي خاص بعالم هاري بوتر، ونبات الماندراكورا الحقيقي لا يصرخ عند استخراجه,25 مارس 2024,fake,حكومة
لا وجود لكتاب يدعى “مثلث التوحيد”، والنسخة المتداولة من هذا الكتاب تعود للشاعر الروماني فيرجيل وليس كتاب ديني,25 مارس 2024,fake,مستشفى
هذا المقطع يصور مظاهرة في ساحة العاصي في حماة عام 2011 وليس حديثًا,23 مارس 2024,fake,مستشفى
هذا الفيديو يظهر مظاهرة قديمة في مدينة قوص في محافظة قنا عام 2019 وليست لمظاهرات خرجت حديثًا,23 مارس 2024,fake,رئيس
هذه الصورة تعود للقنصلية البريطانية في تركيا عام 2022، ولا صحة لخبر تنكيس الأعلام في بريطانيا مؤخرًا,23 مارس 2024,fake,نفسي
هذه الصور من صنع برامج الذكاء الاصطناعي، ولا تظهر مهرجانًا لأكل البرسيم والحشائش في سنغافورة,23 مارس 2024,fake,تنس
هذا المقطع يصور مشاهد من احتفالية يوم الباستيل عام 2021، وليس لتحرك قوات فرنسية قرب حدود روسيا مؤخرًا,21 مارس 2024,fake,شبكة
هذا المقطع معدّل، ولا يبين شابًا يصفع دونالد ترامب بعد سخريته من أكراد مؤخراً,20 مارس 2024,fake,سياسي
هذا المقطع يصور مشاهد تمثيلية من مسلسل برازيلي وليس لمواجهات بين أنصار سيلفا وبولسونارو,20 مارس 2024,fake,تصويت
هذه المشاهد قديمة ومركبة، ولا تصور تظاهرة حديثة خرجت في مصر مطالبة برحيل السيسي,20 مارس 2024,fake,تقنية
هذه الصورة تظهر طائرة بموقف مطار زيورخ في سويسرا ولا تبين هبوط طائرة بمطار المخاء في اليمن مؤخرا,18 مارس 2024,fake,وباء
انقطاع الإنترنت في عدد من دول أفريقيا نتج عن عطل يجري إصلاحه، ولا صحة لخبر انقطاعه عن دول آسيا,18 مارس 2024,fake,صحة
هذا المقطع مقتبس من لعبة إلكترونية، ولا يصوّر استهداف الحوثي بارجة أمريكية في البحر الأحمر مؤخرًا,17 مارس 2024,fake,لعبة
هذه الصور التي تظهر تصميمًا فاخرًا لطائرة بوينغ 747 هي من نتاج الذكاء الاصطناعي وليست واقعية,16 مارس 2024,fake,تكنولوجيا
هذا الفيديو لا يظهر احتراق صالة قمار وبيع خمر في السعودية، بل مشاهد تمثيلية عرضت في مهرجان ليالي القيصرية 2024,16 مارس 2024,fake,رئيس
هذا المقطع قديم لطالبات من المغرب أصبن بحالة هستيريا جماعية، ولا يصور طلابًا بعد تعاطيهم المخدرات في جامعة آزاد,15 مارس 2024,fake,حكومة
هذه الصور قديمة وتعود لأحداث مختلفة، ولا تبين وصول قوات بريطانية وأمريكية مشتركة إلى الساحل الغربي في اليمن,15 مارس 2024,fake,علاج
هذا الفيديو لا يظهر حرائق مفتعلة في الغابات، بل لتقنية الحرائق الموصوفة التي تحافظ على الغابات والبيئة,15 مارس 2024,fake,رئيس
منتجات غير مصرّحة من هيئة الغذاء والدواء يتم تداولها على أنها فعّالة في إنقاص الوزن دون أدلة علمية مثبتة,13 مارس 2024,fake,وباء
هذا المقطع معدل رقميًا وغير حقيقي، ولا يبين شعاع ليزر تسبب في حرائق غابات ولاية تكساس الأمريكية مؤخرًا,10 مارس 2024,fake,وباء
هذه الصورة تظهر احتراق سفينة إيطالية عام 2019 وليس للسفينة التي أعلن الحوثيين استهدافها حديثًا,9 مارس 2024,fake,برلمان
هذه الصورة لاحتراق سفينة في خليج عدن عام 2006، وليس للسفينة التي أعلن الحوثيون استهدافها حديثًا,6 مارس 2024,fake,إنترنت
هذه الصورة تعود للمدمرة الأمريكية كول التي استهدفت عام 2000 وليس لسفينة حربية استهدفها الحوثيين مؤخراً,5 مارس 2024,fake,إنترنت
هذا الفيديو لا يظهر نشر الأسلحة النووية في جميع أنحاء روسيا، بل يعود لتحضيرات لعرض عسكري في موسكو بمناسبة عيد النصر,4 مارس 2024,fake,رئيس
هذه المنشورات التي تروج لروابط تسجيل لتوزيع مساعدات ومعونات غذائية زائفة وغير حقيقية,3 مارس 2024,fake,انتخابات
هذا المقطع قديم، ويظهر فشل الفرقاطة الألمانية ساكسون إطلاق صاروخ أثناء تدريب قبالة سواحل النرويج عام 2018,2 مارس 2024,fake,وباء
هذه الصورة نتاج الذكاء الاصطناعي وليست لطائرة تابعة للخطوط الجوية الإيرانية في سبعينيات القرن الماضي,29 فبراير 2024,fake,دواء
هذه الصورة ليست لقناصٍ من وحدة المهام الخاصة الفرنسية قتل في غزة مؤخراً، بل متداولة منذ 2005 على أنها من العراق,29 فبراير 2024,fake,صحة
هذا المقطع مركب وغير حقيقي، ولا يظهر طفلًا فلسطينيًا يُبكي لجنة التحكيم في برنامج المواهب الأمريكي,29 فبراير 2024,fake,تصويت
هذا المقطع يظهر الرئيس البرازيلي يبكي عندما تحدث عن الجوع في بلاده في كلمة ألقاها عام 2022 وليس خلال تصريحاته المؤيدة لفلسطين,28 فبراير 2024,fake,رئيس
هذا الفيديو لا يظهر حورية البحر، بل مجسم ثلاثي الأبعاد غير حقيقي يستخدم في أحد الأعمال الفنية,27 فبراير 2024,fake,رئيس
هذا المقطع يظهر عثور غواص على صندوق يحتوي رفات بشرية وليس نسخة قديمة من القرآن,24 فبراير 2024,fake,فريق
هذه الصورة تظهر غواصة في معرض عسكري في كوريا الجنوبية، وليست لغواصة يمنية الصنع,23 فبراير 2024,fake,رئيس
هذه الصورة تعود لاحتراق منصة نفط عام 2010 في خليج المكسيك وليس للسفينة البريطانية التي أعلن الحوثيون استهدافها في البحر الأحمر,22 فبراير 2024,fake,برمجة
هذا المقطع متداول منذ عام 2020 لغرق سفينة كورية، ولا يبين غرق السفينة روبيمار التي استهدفها الحوثي مؤخرًا,21 فبراير 2024,fake,إنترنت
هذا الفيديو ليس لغرق سفينة “روبيمار” التي اعلن الحوثيون استهدافها مؤخرًا، بل متداول على أنه لغرق سفينة أتلانتيك كونفيدانس عام 2013,21 فبراير 2024,fake,برلمان
هذه الصورة متداولة منذ سبتمبر 2020 في لبنان، وليست لسفينة أمريكية مشتعلة في البحر الأحمر مؤخراً,20 فبراير 2024,fake,رياضة
الرجل الظاهر في المقطع هو المتحدث التحفيزي الصيني تشين تشو، وليس مؤسس منصة التيكتوك,18 فبراير 2024,fake,تنس
هذه الصورة مفبركة والصورة الأصلية تظهر رئيس الوزراء الهندي وهو يأكل طبقًا محلّيًا في الهند وليس الروث,17 فبراير 2024,fake,رئيس
هذا المقطع معدل عبر الحاسوب ولا يصوّر رجلًا آليًّا حقيقيًّا يشارك في حصاد المحاصيل الزراعية في اليابان,16 فبراير 2024,fake,دواء
هذه الصورة مفبركة، ولا تبين خروج سكان ولاية تلمسان الجزائرية للمطالبة بضمهم إلى المغرب,16 فبراير 2024,fake,جهاز
هذه الصور قديمة وليست للسفن البريطانية والأمريكية التي أعلن الحوثيين استهدافها في البحر الأحمر مؤخرًا,11 فبراير 2024,fake,قرار
هذه الصورة لأكوام القش أمام برج إيفل ليست من احتجاجات المزارعين في فرنسا بل من صنع الذكاء الاصطناعي,10 فبراير 2024,fake,رئيس
هذا الفيديو معدل رقميًّا، ولا صحة لخبر اكتشاف أسماك بوجوه تشبه البشر في بحيرة تدعى “سامسارا”,9 فبراير 2024,fake,صحة
هذه الصورة قديمة وتعود لعام 2021 ولا تظهر وصول فريق طبي نفسي إماراتي لمعالجة جنود الجيش الإسرائيلي,8 فبراير 2024,fake,نفسي
هذه الصورة تعود لزيارة محمد بن سلمان لحاملة طائرات أمريكية في الخليج العربي عام 2015، وليس في البحر الأحمر حديثًا,8 فبراير 2024,fake,دواء
هذا الفيديو لا يظهر مقتل قناص إسرائيلي في غزة حديثًا، بل متداول منذ عام 2016 على أنه في تركيا,6 فبراير 2024,fake,رئيس
هذا الفيديو لا يظهر تجمع المزارعين على الحدود الأمريكية المكسيكية بل لمظاهرة من الجرارات في ألمانيا حديثًا,5 فبراير 2024,fake,رئيس
هذا المقطع يعرض عملًا فنيًا لفنان مكسيكي للتضامن مع غزة وليس لدمية على شكل طفل فلسطيني تباع في الاسواق,5 فبراير 2024,fake,دواء
هذا المقطع يعود لعام 2021، ولا يظهر اعتذار الحكم من اللاعب أيمن حسين بل اعتذار مدرب المنتخب العراقي زيليكو بتروفيتش للاعب آنذاك,4 فبراير 2024,fake,فريق
هذا المقطع متداول منذ نوفمبر 2023 في تشيلي، ولا يظهر انتشار دبابات في ولاية تكساس مؤخرًا,4 فبراير 2024,fake,تنس
هذه الصورة لا تظهر إسقاط طائرة أباتشي إسرائيلية في خان يونس حديثًا بل متداولة منذ عام 2015 على أنها في السعودية,4 فبراير 2024,fake,رئيس
هذا الفيديو لا يظهر اعمال شغب في الجزائر خلال احتفالات بخسارة المنتخب المغربي بل يعود لعام 2019 في مدينة الجزائر,3 فبراير 2024,fake,مستشفى
هذا المقطع ليس لتوجه سائقي الشاحنات نحو حدود تكساس للاحتجاج على الحكومة الفيدرالية، بل لاحتجاج ضد إجراءات كورونا في عام 2022,2 فبراير 2024,fake,حكومة
هذه الصورة مولدة بواسطة نماذج الذكاء الاصطناعي، ولا تبين ظهور بايدن بالزي العسكري في اجتماع طارئ مؤخراً,1 فبراير 2024,fake,برلمان
هذا المقطع يظهر اشتعال النيران في سفينتي نقل غاز عام 2019 في البحر الأسود وليس من استهداف السفينة “مارلين لواندا” مؤخرًا,29 يناير 2024,fake,رئيس
هذا المقطع ليس لاشتعال النيران بناقلة النفط “مارلين لواندا”، بل يعود لاحتراق سفينة في مايو 2021 بالقرب من سريلانكا,28 يناير 2024,fake,ابتكار
هذا الفيديو تمثيلي ولا يوثق تعرض ثلاث فتيات من فرقة المظليين في الجيش الفرنسي للتحرش في مترو باريس,28 يناير 2024,fake,حكومة
هذه الصورة ليست من استهداف ناقلة النفط البريطانية في خليج عدن مؤخراً، بل لاحتراق سفينة شحن عام 2019 في البحر الأحمر,27 يناير 2024,fake,رئيس
هذه الصورة مولدة باستخدام إحدى برامج الذكاء الصناعي، ولا تظهر اندلاع النيران في برج إيفل مؤخرًا,26 يناير 2024,fake,وباء
هذه الصور تعود لحادث اصطدام مدمّرة صواريخ أمريكية عام 2017، وليست للسفينة الأمريكية التي أعلن الحوثيون استهدافها,25 يناير 2024,fake,تحديث
هذا الفيديو متداول منذ عام 2020 على الأقل وليس من الاستهداف الأمريكي الأخير لمناطق في العراق,24 يناير 2024,fake,سياسي
هذا المقطع ساخر وغير حقيقي، ولا يظهر شتم كلاوس شواب من قبل أحد المشاركين في المنتدى الاقتصادي العالمي,22 يناير 2024,fake,ذكاء اصطناعي
